class_name,class_description,studio_name
YOGA YIN,"Yin Yoga is the counterbalance to stronger Vinyasa Practices. The Yoga Sutras tell us very clearly that the equilibrium in the asana spectrum comes from the dynamic interplay of “shtira” (established clarity and focus) and “sukha” (the good space that allows for integration, expansion, and growth). However, if the practices or Sadhanas are all Rajasic (strong, heat building) this interplay is disturbed, and we are pushed out of harmony. Urban Sadhu Yoga Yin is designed to balance the Rajas tendencies. 
The revolutionary restorative process starts with organic and introspective movement, to bring awareness to the current state of the physical being before each asana is held for an extended 3 to 5 minutes. Then, students continue in a series of supported postures, incorporating blankets, bolsters, blocks, straps and even essential oils, to allow an effortlessness in the practice. ",Urban Sadhu Yoga
Yin Yoga,"We don't use the body to get into the pose. We use the pose to get into the body. -Bernie Clark.
Yin yoga is a complementary practice to our vinyasa or hatha practice. Instead of using our muscles, yin yoga asks us to get into our connective tissues- what holds our muscles and bones together. Poses are held for time to allow for a gradual release but yin should not be confused with restorative yoga. You’ll feel a lot! But this profound practice is suitable for all levels of practice, including absolute beginners.",Second Story. Pilates+Yoga
Hot Yin,"80-90 degrees. 60 minutes. All levels.

Dive deep into select postures and into your inner world with a gentle warm up, meridian stretching and a few long holds. These classes focus on Heart or Hip opening. Open to all levels.",Spirit Lab
HOT YIN YOGA,"Deep Stretching and Meditation

Our 65-minute Yin Yoga class is a gentle approach to yoga asanas. The instructor will begin with 55 minutes of Yin Yoga and unwind with a 10 minute Nidra meditation. The Yin portion of class is accompanied by soft music. Props maybe used to help support your body and allow it to open, release and recover on a deeper level. The Nidra portion is designed to build on your already relaxed state and takes you somewhere between being awake and asleep. Room temperature is approximately 95 degrees.",Bode NYC
Yin & Meditation,"Open to all levels, this gentle and relaxing class is part yin yoga and part meditation. Yin yoga is a practice that works deeply into the connective tissues and joints of the hips, pelvis, and lower spine. 
In this class, you will spend most of your time in poses very low to the ground, held for longer periods of time, with a focus on stretching. This class will leave you feeling refreshed, calm and grounded. Beginners welcome.",The Yoga Common
Yin Yoga,"A slower-paced class, where poses are held for a little bit longer will allow your muscles to lengthen and relax.

This class will help you to improve your posture, increase mobility in your muscles and joints, release tension, and feel grounded.",Yoga Space
Yang Yin,"Yin and Yang are the Taoist concepts which describe the two relative qualities present in everything. Yin is more internal, passive, cooling and downward. Yang is more external, dynamic, warming and upward.

Combining both Yin and Yang elements in one class provides a balanced practice and can have a powerful effect on energy levels. 

“The practice of yin/yang yoga helps us learn about stillness in movement and the flow in stillness.” Sarah Powers",Yoga Space
Yin,Yin stretches and targets both the deep connective tissues between the muscles. The aim is to increase circulation in the joints and improve flexibility. It also helps us to regulate the body's flow of Yin energy. Great for people on their feet all day. People who need some deep stretching after a hard workout.,Nkisoy Yoga
Yin/Restorative,"This class is appropriate for students of all ages and levels of practice; it is also helpful for those working with injuries or sensitivities as well as for anyone feeling a little ‘stressed out’.
Yin yoga traditionally incorporates familiar poses from Hatha yoga that are used to cool the body and deepen the breath. These poses are held anywhere from 3 – 5 minutes and while there is slight tension in certain muscle groups, the focus of these poses is to bring our focus to opening the hips, creating better circulation, releasing stored emotion and unease, as well as restoring the connective tissue to its natural state all by using breath and body awareness.
Restorative yoga helps balance the sympathetic (fight or flight) and the parasympathetic (rest and digest) nervous systems through fully supported poses that allow each student to deeply relax the muscles of the body, while quieting the mind by focusing on the breath. Each restorative pose is held anywhere from 1 – 20 minutes encouraging students to ‘let go’ of any chronic tension and anxiety.",The Yoga Room
YIN and Restorative (75min),"End your week in this gentle all level class of long holds in postures (usually seated or reclined supported by props) concentrating on the connective tissues of the body. Emphasis on the breath encourages the muscular system to completely relax, allowing access to deeper layers of the body and psyche.
Passively open areas of the body, allowing your nervous system to reset & renew, yielding to a state of receptivity and softness.",Souk Studio
